year,total_pop,total_19,men_19,women_19
2017,51361911,654171,339285,314886
2018,51606633,622184,325102,297082
2019,51709098,624799,325973,298826
2020,51780579,597240,311350,285890
2021,51821669,514115,268081,246034
2022,51846339,478254,248722,229532
2023,51868100,474073,245977,228096
2024,51887623,440156,227810,212346
2025,51905126,431158,223323,207835
2026,51920462,449962,232104,217858
2027,51933215,477427,245895,231532
2028,51941946,444015,228849,215166
2029,51940598,436964,225342,211622
2030,51926953,472593,242896,229697
2031,51899896,464182,238789,225393
2032,51858138,455615,233458,222157
2033,51800130,428110,219518,208592
2034,51724407,435737,223182,212555
2035,51629895,421949,215894,206055
2036,51515697,377059,193568,183491
2037,51381324,338738,173855,164883
2038,51226482,317446,162901,154545
2039,51051053,301366,154633,146733
2040,50855376,285797,146632,139165
2041,50639882,283543,145464,138079
2042,50404693,294094,150881,143213
2043,50149334,305199,156594,148605
2044,49872642,316632,162476,154156
2045,49574038,327856,168249,159607
2046,49253490,338294,173618,164676
2047,48910639,347548,178381,169167
2048,48544753,351980,180666,171314
2049,48155863,351435,180392,171043
2050,47744500,349259,179275,169984
2051,47311892,345497,177343,168154
2052,46859170,340360,174704,165656
2053,46388584,334172,171523,162649
2054,45903100,327254,167968,159286
2055,45405902,319955,164216,155739
2056,44899931,312614,160443,152171
2057,44387327,305585,156827,148758
2058,43871155,299178,153533,145645
2059,43354083,293562,150644,142918
2060,42837900,288773,148180,140593
2061,42323694,284701,146086,138615
2062,41811745,281077,144223,136854
2063,41302713,277572,142421,135151
2064,40796680,273787,140474,133313
2065,40293293,269385,138212,131173
2066,39792385,264142,135518,128624
2067,39293827,257970,132346,125624